descricao;empenhado;liquidado;pago
"304 - MINISTÉRIO PÚBLICO";"221.962.343,68";"191.943.522,51";"191.924.324,40"
"304 - FUNDO ESPECIAL DO MINISTÉRIOPÚBLICO DO ESTADO DO ACRE FUNEMP-AC";"617,53";"617,53";"617,53"
"305 - DEFENSORIA PÚBLICA DO ESTADODO ACRE";"62.941.004,55";"57.690.415,05";"57.688.965,05"
"305 - FUNDO ORÇ. ESP. DA ESCOLA SUP. DA DEFENSORIA PÚB DO EST.DO ACRE-ESDPAC";"232.945,76";"178.565,06";"178.565,06"
"444 - REPRESENTAÇÃO   DO   GOVERNO  EMBRASÍLIA";"1.151.940,12";"644.703,48";"622.258,41"
"445 - SECRETARIA DE ESTADO DE GOVERNO -SEGOV";"1.420.729,05";"735.490,92";"714.120,62"
"446 - SECRETARIA DE ESTADO DA CASA CIVIL";"38.798.593,92";"34.055.494,22";"29.411.091,51"
"447 - CASA MILITAR";"4.308.949,33";"2.661.027,75";"2.478.491,08"
"448 - CONTROLADORIA-GERAL DO ESTADO - CGE";"2.229.693,16";"1.616.170,50";"1.602.281,10"
"450 - GABINETE DA VICE GOVERNADORA";"3.393.988,69";"2.054.019,73";"1.817.272,44"
"451 - POLÍCIA CIVIL DO ESTADO DO ACRE -PCAC";"21.452.666,10";"12.774.324,09";"11.007.271,45"
"451 - FUNDO ESTADUAL DE SEGURANÇA PÚBLICAFUNDESEG.";"2.078.534,03";"1.750.421,52";"1.746.387,10"
"452 - COORDENADORIA ESTADUAL DE PROTEÇÃOE DEFESA CIVIL";"668.812,78";"474.566,66";"455.431,72"
"510 - PROCURADORIA GERAL DO ESTADO - PGE";"5.815.310,11";"3.663.082,00";"3.495.239,09"
"510 - FUNDO ORÇAMENTÁRIO ESPECIAL CENTRODE ESTUDOS JURÍDICOS - CEJUR/PGE/AC";"5.173.423,97";"4.826.709,59";"4.826.709,59"
"608 - POLÍCIA MILITAR DO ESTADODO ACRE - PMAC";"30.896.823,31";"17.349.213,13";"13.531.156,50"
"608 - FUNDO ESPECIAL DA POLÍCIA MILITARFUNESPOM/AC";"1.604.320,47";"1.503.190,71";"1.502.760,74"
"609 - CORPO DE BOMBEIROS MILITARDO ESTADO DO ACRE - CBMAC";"51.685.442,32";"28.521.035,72";"27.991.112,14"
"609 - FUNDO ESP. DO CORPO DE BOMBEIROSMILITAR DO ESTADO DO ACRE FUNESBOM";"2.809.257,19";"2.333.166,62";"2.329.180,52"
