descricao;empenhado;liquidado;pago
"17000221";"14.800,00";"6.000,00";"0,00"
"26013110";"949.217,26";"211.635,00";"211.635,00"
"15010100";"12.812.920,39";"12.812.920,39";"12.812.920,39"
"27120700";"154.155,84";"41.515,28";"41.515,28"
"27560103";"321.673,00";"321.673,00";"321.673,00"
"27000200";"21.570.686,94";"17.460.132,85";"17.455.492,08"
"27540500";"6.998.219,42";"4.194.965,93";"3.972.044,57"
"25430300";"2.119,36";"2.119,36";"2.119,36"
"15700200";"15.294.649,11";"2.935.994,25";"2.281.329,67"
"17500101";"3.924.600,62";"3.924.600,58";"3.924.600,58"
"17570000";"31.540.787,36";"29.941.228,73";"29.941.228,73"
"26603120";"6.515.935,28";"5.757.444,37";"5.757.444,37"
"26313110";"2.953.518,52";"1.248.283,32";"1.248.283,32"
"18000000";"528.427.966,36";"528.427.966,36";"528.421.064,85"
"15530200";"3.000.000,00";"2.999.255,90";"2.999.255,90"
"27150013";"10.539,48";"10.539,48";"10.539,48"
"25010600";"140.611,62";"109.990,24";"109.637,12"
"16003120";"2.798.995,56";"2.798.995,56";"2.778.942,08"
"27550103";"69.800,00";"0,00";"0,00"
"16350100";"12.777.165,52";"10.711.382,80";"9.063.480,08"
"17560700";"10.500,00";"10.500,00";"10.500,00"
"16003130";"1.308.527,25";"1.305.079,56";"441.474,86"
"17000200";"77.076.227,66";"62.255.386,75";"61.774.100,74"
"17030202";"19.148.500,00";"0,00";"0,00"
"15010600";"534.859,79";"377.782,64";"377.782,64"
"15400300";"277.593.278,97";"227.369.388,77";"226.827.560,77"
"27003140";"587.161,19";"0,00";"0,00"
"15430300";"2.664.430,90";"2.664.430,90";"2.664.430,90"
"27003120";"25.503.261,68";"18.624.736,12";"17.964.887,06"
"16313110";"4.099.151,95";"1.019.070,90";"1.019.070,90"
"26020400";"163.215,20";"163.215,20";"163.215,20"
"17003130";"354.245,50";"0,00";"0,00"
"26003110";"281.145,18";"281.145,18";"281.145,18"
"16010400";"21.730,00";"13.000,00";"13.000,00"
"25010700";"14.072.437,22";"12.755.481,50";"12.736.628,41"
"17530700";"87.618.106,44";"64.075.127,41";"64.068.089,25"
"16653120";"3.134.372,00";"1.618.296,00";"1.618.296,00"
"16050400";"21.453.883,07";"21.453.883,07";"21.453.883,07"
"16313120";"2.690.207,69";"2.208.352,49";"2.208.352,49"
"27160013";"3.908,88";"3.908,88";"3.908,88"
"25000100";"3.956.739,15";"2.468.266,27";"2.267.720,42"
"17160013";"164.596,28";"164.596,28";"164.596,28"
"16000400";"402.374.004,26";"356.722.244,01";"303.839.079,26"
"27010200";"821.934,25";"816.781,75";"816.781,75"
"17003120";"38.469.629,92";"13.840.603,22";"9.159.877,38"
"17030200";"715,62";"0,00";"0,00"
"17003140";"7.145.581,92";"1.509.725,10";"1.509.725,10"
"27030200";"36.134.270,35";"16.863.060,48";"14.857.516,60"
"17150013";"8.626,61";"8.626,61";"8.626,61"
"27190013";"13.859.128,06";"13.823.847,85";"13.793.847,85"
"15730100";"35.214.850,63";"16.103.220,03";"15.683.850,17"
"16003110";"34.567.767,62";"29.956.455,95";"29.956.455,95"
"25010701";"82.982,60";"51.613,34";"51.613,34"
"16310200";"3.289.361,40";"75.499,48";"69.169,88"
"27030202";"5.517.258,23";"1.799.173,06";"1.799.173,06"
"17130700";"27.097.345,74";"11.595.507,84";"11.584.962,84"
"27530700";"1.779.764,41";"1.751.181,46";"1.750.752,09"
"15000100";"4.358.716.885,60";"4.132.575.740,29";"4.003.989.569,18"
"17540500";"43.760.776,01";"10.443.181,42";"10.443.181,42"
"25400300";"8.581.989,06";"8.581.989,06";"8.581.989,06"
"16313140";"3.244.500,00";"2.362.029,54";"2.282.576,20"
"17540501";"0,00";"0,00";"0,00"
"27130700";"6.516.093,76";"1.072.833,91";"1.041.266,41"
"26600200";"597.530,11";"541.945,31";"541.945,31"
"17190013";"0,00";"0,00";"0,00"
"25700200";"30.238.056,86";"13.395.719,35";"13.393.817,35"
"15500102";"62.681.258,91";"41.665.490,52";"38.119.790,52"
"18020801";"15.098.482,87";"9.736.287,87";"9.703.873,63"
"16600200";"214.828,00";"142.699,28";"141.443,03"
"27060201";"29.779.027,09";"16.690.624,71";"16.473.579,78"
"27540501";"3.043.297,95";"1.052.846,39";"1.052.846,39"
"27020200";"110.972,16";"81.172,16";"81.172,16"
"15001002";"1.164.008.612,23";"1.122.284.360,40";"1.071.980.745,18"
"15001001";"547.745.580,66";"466.528.167,56";"433.959.192,48"
"17010200";"12.086.799,50";"5.766.720,36";"5.756.059,47"
"15010700";"67.507.889,64";"54.991.654,94";"54.877.827,16"
"16013110";"0,00";"0,00";"0,00"
"26310200";"1.506.270,12";"1.115.942,38";"1.115.942,38"
"17520700";"22.055.174,54";"17.565.539,77";"17.565.204,66"
"28020801";"11.581.327,27";"6.650.000,00";"6.650.000,00"
"27003110";"1.933.397,19";"1.314.757,18";"1.289.106,83"
"17003110";"2.335.212,48";"854.962,60";"854.962,60"
"26010400";"4.960.235,33";"3.285.375,25";"3.284.825,25"
"15401070";"747.280.896,98";"747.280.896,98";"738.552.656,48"
