descricao;empenhado;liquidado;pago
"3390130000";"277.969,98";"206.657,56";"204.586,32"
"3391470000";"351.754,60";"184.128,03";"184.128,03"
"3390860000";"1.663.869,43";"1.663.869,43";"1.656.967,92"
"3390450000";"1.500.000,00";"0,00";"0,00"
"3350430000";"161.822.554,22";"154.951.457,80";"137.339.771,50"
"3350920000";"35.844.984,14";"35.844.984,14";"35.844.984,14"
"3190060000";"40.986,00";"40.986,00";"40.986,00"
"4490140000";"44.458,28";"44.458,28";"44.458,28"
"4490920000";"46.580.204,33";"43.765.262,44";"42.799.249,52"
"3391410000";"34.838.200,67";"26.065.006,67";"21.899.375,34"
"3390410000";"413.200,00";"413.200,00";"413.200,00"
"3390940000";"19.422,55";"19.422,55";"19.422,55"
"3190920000";"55.922.676,28";"55.531.015,46";"50.504.275,49"
"4490300000";"16.920.445,04";"13.255.410,31";"9.778.863,59"
"3190940000";"6.156.682,81";"6.156.682,81";"6.037.292,96"
"3390460000";"141.478.411,04";"140.638.901,84";"140.638.271,84"
"3390320000";"25.647.424,40";"3.069.377,67";"1.009.443,40"
"3391920000";"10.002.023,48";"9.996.740,11";"9.996.740,11"
"4450420000";"18.993.981,85";"17.933.337,85";"16.072.165,85"
"3190110000";"1.870.109.494,39";"1.870.109.104,06";"1.869.808.927,63"
"3190130000";"131.360.287,40";"131.195.312,57";"120.863.739,36"
"3390930000";"22.906.574,13";"21.395.476,99";"20.915.852,09"
"3390310000";"5.494.238,47";"5.489.916,67";"5.460.416,67"
"3190160000";"19.163.245,39";"19.163.245,39";"19.163.245,39"
"4690710000";"199.609.233,00";"199.601.947,68";"199.005.539,80"
"3391910000";"1.586.764,13";"605.468,38";"605.468,38"
"3190310000";"15.684.365,06";"15.684.365,06";"15.684.365,06"
"4490930000";"2.575.403,73";"2.061.659,70";"2.061.639,70"
"3360450000";"1.494.000,00";"1.494.000,00";"1.494.000,00"
"3390590000";"12.263.358,23";"12.263.358,23";"12.263.358,23"
"3190030000";"149.864.204,10";"149.864.204,10";"149.864.204,10"
"4440410000";"7.214.869,60";"7.214.869,60";"5.661.421,76"
"4590650000";"2.047.100,00";"2.047.100,00";"2.047.100,00"
"3390180000";"3.591.946,00";"3.518.702,00";"3.424.526,00"
"4490400000";"3.484.180,82";"1.282.096,00";"1.282.096,00"
"3190040000";"512.101.278,83";"512.101.278,83";"511.754.589,13"
"4490360000";"1.288,11";"1.288,11";"1.288,11"
"3390340000";"9.584.793,06";"2.126.485,04";"1.442.943,13"
"3140130000";"15.613,01";"15.613,01";"15.613,01"
"3290210000";"133.261.854,19";"133.261.854,19";"132.768.099,60"
"3340810000";"470.912.477,12";"470.912.477,12";"421.724.475,62"
"3390400000";"97.194.063,39";"69.435.002,59";"61.390.132,23"
"4490370000";"478.648,00";"45.515,86";"9.838,06"
"4490200000";"141.355,60";"141.355,60";"141.355,60"
"4441420000";"1.558.261,07";"1.558.261,07";"1.558.261,07"
"4490610000";"8.052.500,00";"7.702.500,00";"7.702.500,00"
"3390140000";"24.330.399,67";"24.292.344,03";"23.749.233,56"
"4490470000";"145.200,00";"101.600,00";"101.600,00"
"4471700000";"113.485,96";"113.485,96";"0,00"
"3390480000";"19.772.311,48";"19.510.178,94";"19.462.058,87"
"3190120000";"239.135.630,35";"239.135.630,35";"239.135.630,35"
"3350310000";"662.499,84";"662.499,84";"662.499,84"
"3390200000";"878.796,30";"878.796,30";"878.796,30"
"4440420000";"9.500.000,00";"9.500.000,00";"9.250.000,00"
"3390350000";"4.948.817,28";"4.473.022,22";"3.535.389,96"
"3371700000";"566.514,04";"362.514,04";"272.000,00"
"3390470000";"90.036.346,98";"89.878.330,47";"89.133.864,57"
"4490330000";"0,00";"0,00";"0,00"
"3390390000";"1.097.640.223,90";"855.494.602,59";"793.240.776,24"
"3390170000";"366.694,64";"312.353,41";"308.844,33"
"3190560000";"21.429,86";"21.429,86";"21.429,86"
"3390910000";"59.731.878,54";"57.679.125,19";"54.491.928,45"
"3190010000";"1.055.103.335,14";"1.055.103.335,14";"1.055.103.335,14"
"4491410000";"1.445.461,33";"1.445.461,33";"1.445.461,33"
"4490520000";"184.144.112,64";"92.029.499,70";"78.481.023,78"
"3391930000";"82.746.272,36";"81.603.965,16";"81.602.816,47"
"4490350000";"2.846.000,00";"905.500,00";"905.500,00"
"3340390000";"1.300.000,00";"1.258.921,94";"1.258.921,94"
"3191130000";"276.667.020,91";"276.666.018,44";"276.612.748,42"
"3290220000";"3.820.047,66";"3.820.047,66";"3.587.445,23"
"3190080000";"7.590,00";"7.590,00";"7.590,00"
"3340410000";"16.334.686,07";"13.685.276,94";"11.235.239,99"
"3390300000";"324.304.146,09";"224.280.573,79";"158.952.505,45"
"3390490000";"5.209.739,69";"5.209.739,69";"5.207.968,69"
"4490510000";"247.074.622,58";"122.158.050,60";"117.992.342,71"
"3191920000";"106.510,06";"106.510,06";"103.764,22"
"3390150000";"5.364.837,09";"5.352.297,80";"5.269.797,69"
"3390080000";"57.935.345,46";"57.932.668,30";"57.930.303,60"
"3350410000";"144.085.378,07";"136.008.002,26";"124.792.081,06"
"4490390000";"75.096.475,53";"62.273.675,10";"61.987.477,57"
"3190910000";"32.127.580,62";"32.097.580,62";"32.097.580,62"
"3390370000";"369.572.827,36";"303.956.826,20";"299.674.521,38"
"3190960000";"713.731,11";"713.731,11";"666.251,71"
"3391390000";"72.446.049,71";"68.662.855,78";"68.022.168,65"
"3390920000";"108.655.230,53";"102.917.125,13";"100.392.377,94"
"3390330000";"80.074.780,85";"65.372.352,42";"56.885.108,31"
"3390360000";"9.364.507,95";"7.589.893,56";"6.969.290,92"
