descricao;empenhado;liquidado;pago
"03091147412710000";"333.149,84";"0,00";"0,00"
"03091147422930000";"38.435,62";"22.066,36";"22.066,36"
"03091229412760000";"128.589,00";"96.759,00";"96.759,00"
"03091229412770000";"41.216.387,18";"15.093.242,75";"15.076.993,29"
"03091229422810000";"171.628.039,92";"171.207.237,63";"171.207.237,63"
"03091229422820000";"617,53";"617,53";"617,53"
"03092145611170000";"2.539.025,71";"2.197.537,51";"2.058.203,70"
"03092145621560000";"1.405.562,13";"336.756,88";"336.276,73"
"03092145622910000";"15.000,00";"0,00";"0,00"
"03092228621530000";"1.609.684,95";"979.066,62";"972.784,79"
"03092228621610000";"5.104.799,24";"4.758.084,86";"4.758.084,86"
"03092228920340000";"50.515.650,98";"50.515.650,98";"50.513.466,11"
"03092229512690000";"1.618.671,32";"1.117.624,22";"1.117.624,22"
"03092229512700000";"1.267.756,32";"422.948,07";"422.948,07"
"03092229522770000";"18.111.169,11";"14.256.784,96";"14.255.334,96"
"03092229522780000";"41.843.407,80";"41.843.407,80";"41.843.407,80"
"03092229522800000";"100.000,00";"49.650,00";"49.650,00"
"03122229480285107";"34.885,21";"27.149,33";"27.149,33"
"03126229412750000";"8.372.687,20";"5.416.911,67";"5.416.911,67"
"03128143321540000";"314.662,05";"218.345,72";"196.598,60"
"03128229522790000";"232.945,76";"178.565,06";"178.565,06"
"03422147412740000";"206.569,71";"76.555,77";"73.607,12"
"03541147412730000";"3.600,00";"3.600,00";"3.600,00"
"04121147511590000";"82.229,30";"65.580,90";"65.580,90"
"04121147511620000";"7.810.015,46";"4.500.079,53";"3.332.273,96"
"04122145512110000";"407.153,56";"147.753,56";"147.753,56"
"04122145523010000";"30.500,00";"10.500,00";"10.500,00"
"04122145812080000";"6.784.138,03";"4.984.611,48";"4.975.153,08"
"04122145812100000";"18.960,87";"18.960,87";"18.960,87"
"04122145821260000";"680.000,00";"476.000,00";"272.000,00"
"04122145822340000";"1.314.428,00";"1.314.428,00";"1.314.428,00"
"04122146180285236";"4.723,17";"4.723,17";"4.723,17"
"04122146411630000";"1.375.041,73";"968.738,37";"958.437,19"
"04122146622270000";"33.774.874,15";"33.774.874,15";"33.656.445,06"
"04122146812140000";"264.226,00";"0,00";"0,00"
"04122147511600000";"85.822,13";"70.853,55";"70.853,55"
"04122147511640000";"466.093,15";"60.952,15";"60.952,15"
"04122228621010000";"2.540.385,00";"2.121.077,33";"2.105.833,30"
"04122228621180000";"1.728.006,60";"1.146.636,49";"1.132.747,09"
"04122228621200000";"1.292.549,35";"485.528,21";"459.239,06"
"04122228621270000";"38.118.593,92";"33.579.494,22";"29.139.091,51"
"04122228621350000";"3.393.988,69";"2.054.019,73";"1.817.272,44"
"04122228621520000";"1.109.411,70";"588.534,35";"567.164,05"
"04122228621590000";"205.081,19";"205.081,19";"205.081,19"
"04122228621740000";"10.893,70";"10.893,70";"10.893,70"
"04122228621760000";"8.240,12";"8.240,12";"8.215,00"
"04122228621880000";"189.886,80";"189.886,80";"189.886,80"
"04122228621940000";"4.619.124,01";"2.707.512,62";"2.665.884,29"
"04122228622180000";"58.261,21";"58.261,21";"58.261,21"
"04122228622330000";"9.000.071,29";"6.715.393,76";"6.678.353,42"
"04122228622900000";"1.151.940,12";"644.703,48";"622.258,41"
"04122228680285080";"49.955,14";"24.987,30";"24.987,30"
"04122228680285278";"49.944,27";"11.438,00";"11.438,00"
"04122228680285293";"11.417,94";"10.531,27";"10.531,27"
"04122228680285413";"100.000,00";"0,00";"0,00"
"04122228680285557";"100.000,00";"100.000,00";"100.000,00"
"04122228920260000";"13.106.376,11";"13.106.376,11";"13.104.495,39"
